,Average Number of Violations,Average Number of Relocations,Average Cost,Average Resource Utilization Percentage,Average Latency Src
0,0,0,14658.516926977181,0.2739876175961144,1585.625
1,0,0,17957.81145758577,0.30387690842765364,1269.25
2,32,826,21684.52086212143,0.27163464374351953,888.2152777777778
