Name,Type,Latitude,Longitude
Balkan Gate,Cloud,40.64241337,22.85691719
Lambda Helix,Cloud,37.87140792,23.87026615
NHRF,Fog,37.97313916,23.74605247
TI Sparkle,Fog,38.07395763,23.77253249
Synapsecom,Fog,38.0774624,23.6872602
Lancom,Fog,38.03999312,23.80309915
Cloud Module 1,Fog,37.98841418,23.76374108
