,Average Number of Violations,Std Deviation in Number of Violations,Average Number of Relocations,Std Deviation in Number of Relocations,Average Cost,Std Deviation in Cost,Average Resource Utilization Percentage,Std Deviation in Resource Utilization Percentage,Average Latency Src,Std Deviation in Latency Src,Average Latency MS,Std Deviation in Latency MS
0,0.0,0.0,0.0,0.0,5994.738352761178,650.9031987554395,0.2796523342329093,0.03337117277926109,22500.0,0.0,0.0,0.0
1,21.9,7.385421074281712,990.5,248.95213730086084,22209.272029727512,1138.3308512469891,0.28164728076944767,0.021469949931767037,8440.323623625462,635.5516704292137,2021.3375,216.91682348254258
2,24.2,5.865151319446072,968.0,358.5631820970407,21677.140760357626,917.9596089522578,0.2678793563686834,0.01447985370910439,8151.22245550885,514.9314618511766,1896.1680555555556,213.96212885967128
